"","Category","Description","Nutrient Bank Number","Carbohydrate","Choline","Niacin","Protein","Riboflavin","Selenium","Sugar Total","Thiamin","Water","Monosaturated Fat","Polysaturated Fat","Saturated Fat","Total Lipid","Calcium","Copper","Iron","Magnesium","Phosphorus","Potassium","Sodium","Zinc","Vitamin A and RAE","Vitamin B6","Vitamin E","Vitamin K"
"1","Sugar substitute","Sugar substitute, stevia, powder",91108000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Sugar substitute","Sugar substitute, monk fruit, powder",91108020,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Sugar","Sugar, white, confectioner's, powdered",91101020,99.77,0,0,0,0.019,0.6,97.81,0,0.23,0,0,0,0,1,0.007,0.06,0,0,2,2,0.01,0,0,0,0
"4","Sugar","Sugar, NFS",91101000,99.6,0,0,0,0.019,0.6,99.8,0,0.02,0,0,0,0.32,1,0.007,0.05,0,0,2,1,0.01,0,0,0,0
"5","Sugar","Sugar, white, granulated or lump",91101010,99.6,0,0,0,0.019,0.6,99.8,0,0.02,0,0,0,0.32,1,0.007,0.05,0,0,2,1,0.01,0,0,0,0
"6","Sugar substitute and sugar blend","Sugar substitute and sugar blend",91106010,99.35,0,0,0,0.018,0.6,99.22,0,0.28,0,0,0,0.31,1,0.007,0.05,0,0,2,1,0.01,0,0,0,0
"7","Strawberry beverage powder","Strawberry beverage powder, dry mix, not reconstituted",11830400,99.1,0.1,0.073,0.1,0.11,0.5,95.45,0.003,0.4,0,0,0,0.2,4,0,0.44,1,5,6,38,0,0,0.002,0,0
"8","Fruit flavored drink","Fruit flavored drink, with high vitamin C, powdered, not reconstituted",92900100,98.94,0.1,8,0,0.68,0.5,92.31,0.001,0.14,0,0,0,0,385,0.013,0.02,0,151,190,17,0.01,599,0.8,0,0
"9","Gumdrops","Gumdrops",91745010,98.9,0,0.01,0,0.013,0.8,58.97,0.006,1,0,0,0,0,3,0.012,0.4,1,1,5,44,0,0,0.005,0,0
"10","Dietetic or low calorie candy","Dietetic or low calorie candy, NFS",91770000,98.6,0,0,0,0,0.6,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Dietetic or low calorie hard candy","Dietetic or low calorie hard candy",91770020,98.6,0,0,0,0,0.6,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Dietetic or low calorie mints","Dietetic or low calorie mints",91770050,98.6,0,0,0,0,0.6,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Tea","Tea, iced, instant, black, pre-sweetened, dry",92307400,98.55,1.1,0.125,0.12,0,0.6,95.29,0.011,0.13,0.033,0.218,0.097,0.73,2,0.01,0.21,3,2,169,5,0.03,0,0.015,0,0
"14","Sugar","Sugar, cinnamon",91104100,98.27,0.8,0.093,0.28,0.021,0.8,92.99,0.002,0.76,0.017,0.005,0.024,0.38,71,0.03,0.63,4,4,32,2,0.14,1,0.011,0.16,2.2
"15","Sugar","Sugar, brown",91102010,98.09,2.3,0.11,0.12,0,1.2,97.02,0,1.34,0,0,0,0,83,0.047,0.71,9,4,133,28,0.03,0,0.041,0,0
